episode,scenario_id,target_load,actual_load,memory_load,core_load,reward,objective,balance_score,success_rate,failure_rate,vgpu_success_rate,vgpu_failure_rate,allocated_count,failure_count,allocated_vgpu_count,failure_vgpu_count,total_vgpu_count,num_gpus,num_pods,steps,loss,epsilon,eval_objective,eval_balance_score,eval_success_rate,eval_failure_rate,eval_vgpu_success_rate,eval_vgpu_failure_rate,eval_checkpoint_score,eval_conflict_objective,eval_conflict_intra_gpu_balance_score,eval_lowmid_objective,best_eval_objective,best_checkpoint_score
46,train-load-0.8-scenario-252,0.8,0.9,0.72,0.9,5.213614759250564,-0.02326345463722912,0.24548567685945144,0.5555555555555556,0.4444444444444444,0.5555555555555556,0.4444444444444444,5,4,5,4,9,5,9,5,0.8040614128112793,0.7940753492934954,,,,,,,,,,,-1e+18,-1e+18
47,train-load-0.5-scenario-413,0.5,0.48069656250000004,0.48069656250000004,0.4341465,9.763900103853869,1.301364564250895,0.6986354357491049,1.0,0.0,1.0,0.0,5,0,5,0,5,4,5,5,0.9506749510765076,0.7901049725470279,,,,,,,,,,,-1e+18,-1e+18
48,train-load-0.9-scenario-713,0.9,0.976668,0.5958020833333334,0.976668,11.56916187240455,1.2048978559305055,0.22367357264092314,0.8571428571428571,0.14285714285714285,0.8888888888888888,0.1111111111111111,6,1,8,1,9,4,7,6,1.057370901107788,0.7861544476842928,,,,,,,,,,,-1e+18,-1e+18
49,train-load-0.9-scenario-473,0.9,0.8297599999999999,0.5424583333333334,0.8297599999999999,3.4170113928406645,-0.06754702766255194,0.7342136943292186,0.6666666666666666,0.3333333333333333,0.75,0.25,4,2,6,2,8,4,6,4,0.8770979642868042,0.7822236754458713,,,,,,,,,,,-1e+18,-1e+18
50,train-load-1.0-scenario-527-retry-1,1.0,0.9493678750000001,0.4429490625,0.9493678750000001,8.946553397069614,0.1897997087209582,0.719291200369951,0.7272727272727273,0.2727272727272727,0.6153846153846154,0.38461538461538464,8,3,8,5,13,8,11,8,1.2115401029586792,0.778312557068642,,,,,,,,,,,-1e+18,-1e+18
51,train-load-0.6-scenario-424,0.6,0.7142857142857143,0.7142857142857143,0.6785714285714286,5.942839860388622,-0.13398809586033322,0.5339880958603331,0.6,0.4,0.6,0.4,6,4,6,4,10,7,10,6,0.6667760014533997,0.7744209942832988,,,,,,,,,,,-1e+18,-1e+18
52,train-load-0.9-scenario-740,0.9,0.8316135,0.767801875,0.8316135,8.991466907834372,0.6241931528297431,0.3758068471702569,0.75,0.25,0.8,0.2,6,2,8,2,10,4,8,6,0.24774287641048431,0.7705488893118823,,,,,,,,,,,-1e+18,-1e+18
53,train-load-0.5-scenario-412-retry-3,0.5,0.5833333333333334,0.3194444444444444,0.5833333333333334,5.5355037230433926,0.013199385773877914,0.4868006142261221,0.625,0.375,0.625,0.375,5,3,5,3,8,6,8,5,0.39235618710517883,0.7666961448653229,,,,,,,,,,,-1e+18,-1e+18
54,train-load-0.6-scenario-119-retry-1,0.6,0.5333333333333333,0.5,0.5333333333333333,15.388033102926855,1.3258714194590644,0.6741285805409356,1.0,0.0,1.0,0.0,9,0,9,0,9,6,9,9,0.4890168309211731,0.7628626641409962,,,,,,,,,,,-1e+18,-1e+18
55,train-load-0.5-scenario-71,0.5,0.46129116666666664,0.3019809027777778,0.46129116666666664,5.651363429919664,0.46225912731026597,0.7377408726897341,0.8,0.2,0.8333333333333334,0.16666666666666666,4,1,5,1,6,6,5,4,0.6063940525054932,0.7590483508202912,,,,,,,,,,,-1e+18,-1e+18
56,train-load-0.5-scenario-256-retry-1,0.5,0.5333333333333333,0.5333333333333333,0.4,13.978182991542411,1.3175526978602492,0.6824473021397509,1.0,0.0,1.0,0.0,8,0,8,0,8,5,8,8,0.4727524518966675,0.7552531090661897,,,,,,,,,,,-1e+18,-1e+18
57,train-load-0.7-scenario-643,0.7,0.6468907500000001,0.3099528125,0.6468907500000001,12.875620824008111,1.173316542103853,0.8266834578961471,1.0,0.0,1.0,0.0,8,0,9,0,9,8,8,8,0.4840209186077118,0.7514768435208588,,,,,,,,,,,-1e+18,-1e+18
58,train-load-0.9-scenario-664,0.9,0.9833333333333333,0.9833333333333333,0.96,9.531313149737635,0.49752149916375077,0.30247850083624905,0.7,0.3,0.7,0.3,7,3,7,3,10,5,10,7,0.4851086139678955,0.7477194593032545,,,,,,,,,,,-1e+18,-1e+18
59,train-load-1.0-scenario-116,1.0,0.884441125,0.8542639062499999,0.884441125,10.402575986737475,-0.014442197254646905,0.5144421972546469,0.625,0.375,0.631578947368421,0.3684210526315789,10,6,12,7,19,8,16,10,0.656952977180481,0.7439808620067382,,,,,,,,,,,-1e+18,-1e+18
