episode,scenario_id,target_load,actual_load,memory_load,core_load,reward,objective,balance_score,success_rate,failure_rate,vgpu_success_rate,vgpu_failure_rate,allocated_count,failure_count,allocated_vgpu_count,failure_vgpu_count,total_vgpu_count,num_gpus,num_pods,steps,loss,epsilon,eval_objective,eval_balance_score,eval_success_rate,eval_failure_rate,eval_vgpu_success_rate,eval_vgpu_failure_rate,eval_checkpoint_score,eval_conflict_objective,eval_conflict_intra_gpu_balance_score,eval_lowmid_objective,best_eval_objective,best_checkpoint_score
43,train-load-0.8-scenario-594,0.8,0.72501875,0.72501875,0.647019875,15.44021164505494,0.8497326180536025,0.5348827665617821,0.8461538461538461,0.15384615384615385,0.8666666666666667,0.13333333333333333,11,2,13,2,15,8,13,11,1.1756272315979004,0.8061065909263957,,,,,,,,,,,-1e+18,-1e+18
44,train-load-0.5-scenario-434,0.5,0.49304383333333335,0.26184291666666665,0.49304383333333335,9.209902354817235,1.208176309796115,0.7918236902038851,1.0,0.0,1.0,0.0,5,0,6,0,6,6,5,5,1.2643661499023438,0.8020760579717637,,,,,,,,,,,-1e+18,-1e+18
45,train-load-0.7-scenario-742,0.7,0.638610125,0.41523177083333335,0.638610125,9.592833213654913,0.5513162215714442,0.5597948895396669,0.7777777777777778,0.2222222222222222,0.7272727272727273,0.2727272727272727,7,2,8,3,11,8,9,7,0.6535426378250122,0.798065677681905,,,,,,,,,,,-1e+18,-1e+18
46,train-load-0.5-scenario-664-retry-2,0.5,0.42142857142857143,0.42142857142857143,0.38571428571428573,28.581381859040306,1.1756928574193184,0.8243071425806817,1.0,0.0,1.0,0.0,20,0,20,0,20,7,20,20,1.7400039434432983,0.7940753492934954,,,,,,,,,,,-1e+18,-1e+18
47,train-load-0.9-scenario-400,0.9,0.7943768333333333,0.3811083333333334,0.7943768333333333,8.078462187521211,0.32781426695170657,0.7832968441594046,0.7777777777777778,0.2222222222222222,0.7777777777777778,0.2222222222222222,7,2,7,2,9,6,9,7,1.1398210525512695,0.7901049725470279,,,,,,,,,,,-1e+18,-1e+18
48,train-hard-4gpu-4pod-2vgpu,0.25,0.25,0.16666666666666666,0.25,10.85063432038124,1.7693527539194693,0.23064724608053075,1.0,0.0,1.0,0.0,4,0,8,0,8,4,4,4,0.6069733500480652,0.7861544476842928,,,,,,,,,,,-1e+18,-1e+18
49,train-load-1.0-scenario-382-retry-8,1.0,0.88,0.66,0.88,22.48433575173479,0.808387166845866,0.2825219240632249,0.7727272727272727,0.22727272727272727,0.7727272727272727,0.22727272727272727,17,5,17,5,22,5,22,17,0.8423216342926025,0.7822236754458713,,,,,,,,,,,-1e+18,-1e+18
50,train-load-0.6-scenario-700,0.6,0.5,0.5,0.25,28.82765481904773,1.2525843221966813,0.7474156778033187,1.0,0.0,1.0,0.0,20,0,20,0,20,8,20,20,0.5482772588729858,0.778312557068642,,,,,,,,,,,-1e+18,-1e+18
51,train-load-0.7-scenario-561-retry-1,0.7,0.65,0.225,0.65,6.6659619951763585,-0.00023841249551925792,0.40023841249551917,0.6,0.4,0.6,0.4,6,4,6,4,10,8,10,6,0.45677441358566284,0.7744209942832988,,,,,,,,,,,-1e+18,-1e+18
52,train-load-0.6-scenario-442-retry-6,0.6,0.5,0.3333333333333333,0.5,22.41343741875653,1.463045174302624,0.536954825697376,1.0,0.0,1.0,0.0,14,0,14,0,14,7,14,14,0.5839830040931702,0.7705488893118823,,,,,,,,,,,-1e+18,-1e+18
53,train-load-0.8-scenario-265,0.8,0.7873075,0.603281875,0.7873075,9.502219177135864,0.45264789655002946,0.7473521034499706,0.8,0.2,0.8181818181818182,0.18181818181818182,8,2,9,2,11,6,10,8,0.3900693953037262,0.7666961448653229,,,,,,,,,,,-1e+18,-1e+18
54,train-load-1.0-scenario-577-retry-4,1.0,1.1166666666666667,0.9666666666666667,1.1166666666666667,10.678534303434356,0.1649446584276668,0.5017220082389998,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.3333333333333333,10,5,10,5,15,6,15,10,0.46071863174438477,0.7628626641409962,,,,,,,,,,,-1e+18,-1e+18
55,train-load-0.7-scenario-361,0.7,0.76,0.6333333333333333,0.76,9.29893431588645,0.7188927119142343,0.2811072880857657,0.75,0.25,0.75,0.25,6,2,6,2,8,5,8,6,0.41641974449157715,0.7590483508202912,,,,,,,,,,,-1e+18,-1e+18
56,train-load-0.8-scenario-193-retry-4,0.8,0.85,0.72,0.85,4.56082653848879,-0.091126056733143,0.591126056733143,0.625,0.375,0.625,0.375,5,3,5,3,8,5,8,5,0.8802312016487122,0.7552531090661897,,,,,,,,,,,-1e+18,-1e+18
57,train-hard-4gpu-4pod-2vgpu,0.25,0.25,0.16666666666666666,0.25,11.616666666666667,1.9166666666666665,0.08333333333333337,1.0,0.0,1.0,0.0,4,0,8,0,8,4,4,4,0.6651796698570251,0.7514768435208588,,,,,,,,,,,-1e+18,-1e+18
58,train-load-0.9-scenario-16-retry-1,0.9,0.9,0.7333333333333333,0.9,17.682993378913014,0.8215853973726537,0.4284146026273462,0.8125,0.1875,0.8125,0.1875,13,3,13,3,16,6,16,13,0.789969265460968,0.7477194593032545,,,,,,,,,,,-1e+18,-1e+18
59,train-load-0.7-scenario-247,0.7,0.71875,0.40625,0.71875,-1.609453205237381,-1.2256985944474317,0.7256985944474317,0.375,0.625,0.375,0.625,3,5,3,5,8,8,8,3,0.5003119707107544,0.7439808620067382,,,,,,,,,,,-1e+18,-1e+18
60,train-load-0.6-scenario-190,0.6,0.6008150000000001,0.28488125,0.6008150000000001,11.147295210175859,1.3924338016080564,0.6075661983919436,1.0,0.0,1.0,0.0,6,0,6,0,6,5,6,6,0.7142829895019531,0.7402609576967045,,,,,,,,,,,-1e+18,-1e+18
61,train-load-0.7-scenario-216,0.7,0.6081129999999999,0.3364675,0.6081129999999999,5.122106240697205,0.40812763701957233,0.7918723629804277,0.8,0.2,0.6666666666666666,0.3333333333333333,4,1,4,2,6,5,5,4,0.9498810768127441,0.736559652908221,,,,,,,,,,,-1e+18,-1e+18
62,train-load-0.6-scenario-564-retry-1,0.6,0.6,0.6,0.4,17.331817815541633,1.490731415656255,0.5092685843437451,1.0,0.0,1.0,0.0,10,0,12,0,12,6,10,10,0.9766709208488464,0.7328768546436799,,,,,,,,,,,-1e+18,-1e+18
63,train-load-0.6-scenario-273-retry-1,0.6,0.5639335,0.4272125,0.5639335,8.601064527584684,1.1196681068415235,0.8803318931584765,1.0,0.0,1.0,0.0,5,0,5,0,5,4,5,5,0.9462445974349976,0.7292124703704616,,,,,,,,,,,-1e+18,-1e+18
64,train-load-0.5-scenario-575,0.5,0.47318466666666664,0.2753152777777778,0.47318466666666664,10.381623539577317,1.392065086772397,0.607934913227603,1.0,0.0,1.0,0.0,5,0,6,0,6,6,5,5,0.5901753306388855,0.7255664080186093,,,,,,,,,,,-1e+18,-1e+18
65,train-load-0.7-scenario-376-retry-2,0.7,0.6875,0.4583333333333333,0.6875,19.099564245990894,1.6146080900723,0.3853919099276999,1.0,0.0,1.0,0.0,11,0,11,0,11,4,11,11,0.7468329668045044,0.7219385759785162,,,,,,,,,,,-1e+18,-1e+18
66,train-load-0.7-scenario-278-retry-1,0.7,0.8,0.5,0.8,14.65821855530866,1.1275957364324654,0.4724042635675348,0.9,0.1,0.9,0.1,9,1,9,1,10,5,10,9,0.9084474444389343,0.7183288830986236,,,,,,,,,,,-1e+18,-1e+18
